batch_size,config_name,dataset,epochs,experiment_name,input_mode,kind,loss_mode,max_events,model,model_family,optimizer,phase,psd_path,purpose,resolved_config,rq_path,run_id,trace_path,wandb
4,transformer_prewhite_mahalanobis,HDF5 detector traces from data.trace_path plus optional RQ labels from data.rq_path; PSD from preprocessing.psd_path.,80,transformer_prewhite_mahalanobis_l40s_muon01,prewhitened,paper2_config,mahalanobis,2048,token-preserving transformer reconstruction AE,transformer,adamw_muon,best_combo,data/Noise_PSD/noise_psd_from_MMC.npy,Best current transformer geometry: prewhitened tokens and Mahalanobis loss.,/ceph/dwong/noise-weighted-subspace-reconstruction/paper2/results/_suite_runs/20260609_181555/configs/transformer_prewhite_mahalanobis.yaml,data/k_alpha/k_alpha_rqs.h5,transformer_prewhite_mahalanobis,data/k_alpha/k_alpha_traces.h5,True
4,experiment_d_transformer_prewhite_mahalanobis,HDF5 detector traces from data.trace_path plus optional RQ labels from data.rq_path; PSD from preprocessing.psd_path.,40,experiment_d_transformer_prewhite_mahalanobis_l40s_muon01,prewhitened,paper2_config,mahalanobis,2048,token-preserving transformer reconstruction AE,transformer,adamw_muon,best_combo,data/Noise_PSD/noise_psd_from_MMC.npy,Geometry-fixed attention comparison for paper/slides.,/ceph/dwong/noise-weighted-subspace-reconstruction/paper2/results/_suite_runs/20260609_181555/configs/experiment_d_transformer_prewhite_mahalanobis.yaml,data/k_alpha/k_alpha_rqs.h5,experiment_d_transformer_prewhite_mahalanobis,data/k_alpha/k_alpha_traces.h5,True
