case,amplitude_rmse,amplitude_bias
stationary_global_psd,34.721650006453196,-32.236192960980944
nonstationary_global_psd,34.51151435656033,-30.550991653511556
nonstationary_segment_psd,34.54324410651928,-30.564156785109883
