of_gls,of_time_domain,empca_rank1,rq_of_ampl_0,resid_of,resid_empca_rank1
10396.632562013836,10396.631987272121,10396.507540557895,10397.252110783762,5687267802128162.0,5703292885496309.0
10392.932575513812,10392.931764486118,10392.851745177353,10390.954521449683,5782992962510607.0,5789647974802894.0
10413.527332159436,10413.526352803341,10413.401598637167,10414.25614307052,5766778040763450.0,5782963345003436.0
10404.906303035761,10404.904622288714,10404.783227930619,10406.615456595184,5751082978487717.0,5766699379467496.0
10416.618285053444,10416.617528702918,10416.493639032493,10413.129479536809,5756232669945480.0,5772188589409753.0
10412.400664462502,10412.401296209644,10412.300383657823,10413.553223741745,5726642367166332.0,5737421221120591.0
10377.137657230427,10377.137199039968,10377.035446167418,10376.030307758952,5695308895831635.0,5706495325653408.0
10437.502244653562,10437.507081147112,10437.368929111926,10436.279061455367,5738752687802472.0,5756565180545342.0
10413.355410174101,10413.354848315483,10413.264181603965,10413.103221975394,5713522778247061.0,5722378895536739.0
10407.786297991523,10407.78584166824,10407.725672265566,10407.880362506205,5622911997671170.0,5625272200300819.0
10409.252732123776,10409.253062550652,10409.133622365944,10408.242462235288,5838544189287564.0,5853320789208366.0
10408.192070549707,10408.188639245367,10408.081460574458,10408.529853008056,5766198241977478.0,5779169890328207.0
10393.444975702334,10393.441744309794,10393.319148688846,10392.368782423417,5701417971948339.0,5717612135194018.0
10404.548079415124,10404.546059262051,10404.4249778619,10402.4313437854,5779926894132248.0,5795548732100754.0
10396.727827070044,10396.72584308992,10396.638990901976,10395.182078558626,5696258716347380.0,5704610113592507.0
10414.152940287822,10414.152718002282,10414.012650304481,10413.26967314995,5683089676397042.0,5702367444621358.0
10395.722889197159,10395.722115114757,10395.611009736762,10396.197378060864,5815808596813183.0,5829046473093822.0
10410.413027869117,10410.411681961343,10410.317609366675,10409.917028258162,5698488766032188.0,5708235073835643.0
10394.819529592587,10394.823146101084,10394.697412306932,10397.604132649765,5696180157905868.0,5711588508132814.0
10412.84180110063,10412.841199900206,10412.697581101518,10412.073707440406,5699180224669594.0,5719291609492783.0
