k,principal_angle_cosines,principal_angles_deg,residual_mean_a,residual_mean_b,relative_mean_diff,ks_statistic,ks_pvalue
1,[0.9999999999999899],[8.144481502960801e-06],5739404404207069.0,5739404404207069.0,0.0,0.0026041666666666665,1.0
2,"[1.0, 0.9999999999999961]","[0.0, 5.0509930079323e-06]",2.374630861903064e+16,5730506204856775.0,3.1438413588846537,1.0,4.475847141224385e-230
3,"[1.0, 0.9999999999999969, 0.9999999999999962]","[0.0, 4.517745487845102e-06, 4.9783130603797145e-06]",2.3845801685137868e+16,5725112517869601.0,3.1651236741127393,1.0,4.475847141224385e-230
