noise_power,sigma_emp,sigma_pred,relative_error
0.1,0.12968264017173672,0.13652987411565767,0.050151909889849425
0.5,0.28997919892564267,0.3052900794820995,0.05015190988986786
1.0,0.4100925159267307,0.43174537086154535,0.05015190988986523
5.0,0.91699474267609,0.9654119982172723,0.05015190988985993
10.0,1.2968264017173539,1.3652987411565767,0.05015190988985919
50.0,2.8997919892564616,3.052900794820995,0.050151909889856336
