noise_type,weighted_residual_mean,isotropic_residual_mean,relative_improvement
white,41780.37563328755,112349829.97141421,0.9996281224845297
pink,35251.23076285666,532387.8086365794,0.933786555230982
brownian,224499.46478938247,42288038.55018918,0.9946911828383116
