k,init,iteration,chi2
1,svd,36,44967.40275848205
1,svd,37,44967.40275848205
1,svd,38,44967.40275848205
1,svd,39,44967.40275848205
1,svd,40,44967.40275848205
1,svd,41,44967.40275848205
1,svd,42,44967.40275848205
1,svd,43,44967.40275848205
1,svd,44,44967.40275848205
1,svd,45,44967.40275848205
1,svd,46,44967.40275848205
1,svd,47,44967.40275848205
1,svd,48,44967.40275848205
1,svd,49,44967.40275848205
1,svd,50,44967.40275848205
1,svd,51,44967.40275848205
1,svd,52,44967.40275848205
1,svd,53,44967.40275848205
1,svd,54,44967.40275848205
1,svd,55,44967.40275848205
1,svd,56,44967.40275848205
1,svd,57,44967.40275848205
1,svd,58,44967.40275848205
1,svd,59,44967.40275848205
1,svd,60,44967.40275848205
1,svd,61,44967.40275848205
1,svd,62,44967.40275848205
1,svd,63,44967.40275848205
1,svd,64,44967.40275848205
1,svd,65,44967.40275848205
1,svd,66,44967.40275848205
1,svd,67,44967.40275848205
1,svd,68,44967.40275848205
1,svd,69,44967.40275848205
1,svd,70,44967.40275848205
1,svd,71,44967.40275848205
1,svd,72,44967.40275848205
1,svd,73,44967.40275848205
1,svd,74,44967.40275848205
1,svd,75,44967.40275848205
1,svd,76,44967.40275848205
1,svd,77,44967.40275848205
1,svd,78,44967.40275848205
1,svd,79,44967.40275848205
2,random,0,54157.58520261544
2,random,1,36175.38282824943
2,random,2,35899.38330116086
2,random,3,35886.58028903062
2,random,4,35885.70661272395
2,random,5,35885.645305580925
2,random,6,35885.64098628016
2,random,7,35885.64068174206
2,random,8,35885.64066026708
2,random,9,35885.640658752694
2,random,10,35885.6406586459
2,random,11,35885.640658638375
2,random,12,35885.640658637836
2,random,13,35885.6406586378
2,random,14,35885.6406586378
2,random,15,35885.6406586378
2,random,16,35885.6406586378
2,random,17,35885.6406586378
2,random,18,35885.64065863779
2,random,19,35885.6406586378
2,random,20,35885.64065863779
2,random,21,35885.6406586378
2,random,22,35885.6406586378
2,random,23,35885.64065863781
2,random,24,35885.6406586378
2,random,25,35885.6406586378
2,random,26,35885.6406586378
2,random,27,35885.6406586378
2,random,28,35885.6406586378
2,random,29,35885.6406586378
2,random,30,35885.6406586378
2,random,31,35885.6406586378
2,random,32,35885.6406586378
2,random,33,35885.6406586378
2,random,34,35885.6406586378
2,random,35,35885.6406586378
2,random,36,35885.6406586378
2,random,37,35885.6406586378
2,random,38,35885.6406586378
2,random,39,35885.6406586378
2,random,40,35885.6406586378
2,random,41,35885.6406586378
2,random,42,35885.6406586378
2,random,43,35885.6406586378
2,random,44,35885.6406586378
2,random,45,35885.6406586378
2,random,46,35885.6406586378
2,random,47,35885.6406586378
2,random,48,35885.6406586378
2,random,49,35885.6406586378
2,random,50,35885.6406586378
2,random,51,35885.6406586378
2,random,52,35885.6406586378
2,random,53,35885.6406586378
2,random,54,35885.6406586378
2,random,55,35885.6406586378
2,random,56,35885.6406586378
2,random,57,35885.6406586378
2,random,58,35885.6406586378
2,random,59,35885.6406586378
2,random,60,35885.6406586378
2,random,61,35885.6406586378
2,random,62,35885.6406586378
2,random,63,35885.6406586378
2,random,64,35885.6406586378
2,random,65,35885.6406586378
2,random,66,35885.6406586378
2,random,67,35885.6406586378
2,random,68,35885.6406586378
2,random,69,35885.6406586378
2,random,70,35885.6406586378
2,random,71,35885.6406586378
2,random,72,35885.6406586378
2,random,73,35885.6406586378
2,random,74,35885.6406586378
2,random,75,35885.6406586378
2,random,76,35885.6406586378
2,random,77,35885.6406586378
2,random,78,35885.6406586378
2,random,79,35885.6406586378
2,svd,0,35885.6406586378
2,svd,1,35885.6406586378
2,svd,2,35885.6406586378
2,svd,3,35885.6406586378
2,svd,4,35885.6406586378
2,svd,5,35885.6406586378
2,svd,6,35885.6406586378
2,svd,7,35885.6406586378
2,svd,8,35885.6406586378
2,svd,9,35885.6406586378
2,svd,10,35885.6406586378
2,svd,11,35885.6406586378
2,svd,12,35885.6406586378
2,svd,13,35885.6406586378
2,svd,14,35885.6406586378
2,svd,15,35885.6406586378
2,svd,16,35885.6406586378
2,svd,17,35885.6406586378
2,svd,18,35885.6406586378
2,svd,19,35885.6406586378
2,svd,20,35885.6406586378
2,svd,21,35885.6406586378
2,svd,22,35885.6406586378
2,svd,23,35885.6406586378
2,svd,24,35885.6406586378
2,svd,25,35885.6406586378
2,svd,26,35885.6406586378
2,svd,27,35885.6406586378
2,svd,28,35885.6406586378
2,svd,29,35885.6406586378
2,svd,30,35885.6406586378
2,svd,31,35885.6406586378
2,svd,32,35885.6406586378
2,svd,33,35885.6406586378
2,svd,34,35885.6406586378
2,svd,35,35885.6406586378
2,svd,36,35885.6406586378
2,svd,37,35885.6406586378
2,svd,38,35885.6406586378
2,svd,39,35885.6406586378
2,svd,40,35885.6406586378
2,svd,41,35885.6406586378
2,svd,42,35885.6406586378
2,svd,43,35885.6406586378
2,svd,44,35885.6406586378
2,svd,45,35885.6406586378
2,svd,46,35885.6406586378
2,svd,47,35885.6406586378
2,svd,48,35885.6406586378
2,svd,49,35885.6406586378
2,svd,50,35885.6406586378
2,svd,51,35885.6406586378
2,svd,52,35885.6406586378
2,svd,53,35885.6406586378
2,svd,54,35885.6406586378
2,svd,55,35885.6406586378
2,svd,56,35885.6406586378
2,svd,57,35885.6406586378
2,svd,58,35885.6406586378
2,svd,59,35885.6406586378
2,svd,60,35885.6406586378
2,svd,61,35885.6406586378
2,svd,62,35885.6406586378
2,svd,63,35885.6406586378
2,svd,64,35885.6406586378
2,svd,65,35885.6406586378
2,svd,66,35885.6406586378
2,svd,67,35885.6406586378
2,svd,68,35885.6406586378
2,svd,69,35885.6406586378
2,svd,70,35885.6406586378
2,svd,71,35885.6406586378
2,svd,72,35885.6406586378
2,svd,73,35885.6406586378
2,svd,74,35885.6406586378
2,svd,75,35885.6406586378
2,svd,76,35885.6406586378
2,svd,77,35885.6406586378
2,svd,78,35885.6406586378
2,svd,79,35885.6406586378
3,random,0,47138.66911724257
3,random,1,33915.15649105443
3,random,2,33511.74851139766
3,random,3,33479.77591878616
3,random,4,33475.02825187715
3,random,5,33474.14957244004
3,random,6,33473.98117015185
3,random,7,33473.94870253117
3,random,8,33473.94243337602
3,random,9,33473.94122217802
3,random,10,33473.94098811229
3,random,11,33473.94094287244
3,random,12,33473.940934127895
3,random,13,33473.940932437574
3,random,14,33473.94093211082
3,random,15,33473.940932047655
3,random,16,33473.940932035446
3,random,17,33473.94093203308
3,random,18,33473.94093203263
3,random,19,33473.940932032536
3,random,20,33473.94093203252
3,random,21,33473.940932032514
3,random,22,33473.940932032514
3,random,23,33473.940932032514
3,random,24,33473.940932032514
3,random,25,33473.940932032514
3,random,26,33473.940932032514
3,random,27,33473.940932032514
3,random,28,33473.940932032514
3,random,29,33473.940932032514
3,random,30,33473.940932032514
3,random,31,33473.940932032514
3,random,32,33473.940932032514
3,random,33,33473.940932032514
3,random,34,33473.940932032514
3,random,35,33473.940932032514
3,random,36,33473.940932032514
3,random,37,33473.940932032514
3,random,38,33473.940932032514
3,random,39,33473.940932032514
3,random,40,33473.940932032514
3,random,41,33473.940932032514
3,random,42,33473.940932032514
3,random,43,33473.940932032514
3,random,44,33473.940932032514
3,random,45,33473.940932032514
3,random,46,33473.940932032514
3,random,47,33473.940932032514
3,random,48,33473.940932032514
3,random,49,33473.940932032514
3,random,50,33473.940932032514
3,random,51,33473.940932032514
3,random,52,33473.940932032514
3,random,53,33473.940932032514
3,random,54,33473.940932032514
3,random,55,33473.940932032514
3,random,56,33473.940932032514
3,random,57,33473.940932032514
3,random,58,33473.940932032514
3,random,59,33473.940932032514
3,random,60,33473.940932032514
3,random,61,33473.940932032514
3,random,62,33473.940932032514
3,random,63,33473.940932032514
3,random,64,33473.940932032514
3,random,65,33473.940932032514
3,random,66,33473.940932032514
3,random,67,33473.940932032514
3,random,68,33473.940932032514
3,random,69,33473.940932032514
3,random,70,33473.940932032514
3,random,71,33473.940932032514
3,random,72,33473.940932032514
3,random,73,33473.940932032514
3,random,74,33473.940932032514
3,random,75,33473.940932032514
3,random,76,33473.940932032514
3,random,77,33473.940932032514
3,random,78,33473.940932032514
3,random,79,33473.940932032514
3,svd,0,33473.940932032514
3,svd,1,33473.940932032514
3,svd,2,33473.940932032514
3,svd,3,33473.940932032514
3,svd,4,33473.940932032514
3,svd,5,33473.940932032514
3,svd,6,33473.940932032514
3,svd,7,33473.940932032514
3,svd,8,33473.940932032514
3,svd,9,33473.940932032514
3,svd,10,33473.940932032514
3,svd,11,33473.940932032514
3,svd,12,33473.940932032514
3,svd,13,33473.940932032514
3,svd,14,33473.940932032514
3,svd,15,33473.940932032514
3,svd,16,33473.940932032514
3,svd,17,33473.940932032514
3,svd,18,33473.940932032514
3,svd,19,33473.940932032514
3,svd,20,33473.940932032514
3,svd,21,33473.940932032514
3,svd,22,33473.940932032514
3,svd,23,33473.940932032514
3,svd,24,33473.940932032514
3,svd,25,33473.940932032514
3,svd,26,33473.940932032514
3,svd,27,33473.940932032514
3,svd,28,33473.940932032514
3,svd,29,33473.940932032514
3,svd,30,33473.940932032514
3,svd,31,33473.940932032514
3,svd,32,33473.940932032514
3,svd,33,33473.940932032514
3,svd,34,33473.940932032514
3,svd,35,33473.940932032514
3,svd,36,33473.940932032514
3,svd,37,33473.940932032514
3,svd,38,33473.940932032514
3,svd,39,33473.940932032514
3,svd,40,33473.940932032514
3,svd,41,33473.940932032514
3,svd,42,33473.940932032514
3,svd,43,33473.940932032514
3,svd,44,33473.940932032514
3,svd,45,33473.940932032514
3,svd,46,33473.940932032514
3,svd,47,33473.940932032514
3,svd,48,33473.940932032514
3,svd,49,33473.940932032514
3,svd,50,33473.940932032514
3,svd,51,33473.940932032514
3,svd,52,33473.940932032514
3,svd,53,33473.940932032514
3,svd,54,33473.940932032514
3,svd,55,33473.940932032514
3,svd,56,33473.940932032514
3,svd,57,33473.940932032514
3,svd,58,33473.940932032514
3,svd,59,33473.940932032514
3,svd,60,33473.940932032514
3,svd,61,33473.940932032514
3,svd,62,33473.940932032514
3,svd,63,33473.940932032514
3,svd,64,33473.940932032514
3,svd,65,33473.940932032514
3,svd,66,33473.940932032514
3,svd,67,33473.940932032514
3,svd,68,33473.940932032514
3,svd,69,33473.940932032514
3,svd,70,33473.940932032514
3,svd,71,33473.940932032514
3,svd,72,33473.940932032514
3,svd,73,33473.940932032514
3,svd,74,33473.940932032514
3,svd,75,33473.940932032514
3,svd,76,33473.940932032514
3,svd,77,33473.940932032514
3,svd,78,33473.940932032514
3,svd,79,33473.940932032514
