noise_type,noise_power,N_phi,variance_pred,variance_emp,relative_error
white,50.0,163578.42894109825,6.113275487931741e-06,5.8952311685786365e-06,0.035667347199311875
pink,50.0,1872.2188951009077,0.0005341255782733154,0.0005455737840071369,0.021433547089863222
brownian,50.0,30034.59629392936,3.3294937285443774e-05,3.3565998295855494e-05,0.008141208018740603
