metric,value
n_events,4358.0
trace_len,32768.0
baseline_before_mean,131.0263463744837
baseline_before_std,1.1302686803917106
baseline_after_mean,-2.468084377430494e-16
baseline_after_std,8.17337714334811e-15
canonical_psd_mean,1.9760023114852352e-05
empirical_pretrigger_psd_mean,0.00024467959998258275
weight_min,69.68760007719847
weight_max,1141691.9520647423
