epoch,train_loss,eval_loss,weighted_residual_mean,reconstruction_mse
1,2315919.279340278,438371.825,6.746639329551555e+18,438371.825
2,395119.8509657118,12033.55244140625,2.0141235820193382e+17,12033.55244140625
3,123643.87948540582,87232.761328125,5.44025754137002e+16,87232.761328125
4,45967.23074815538,144000.3859375,1.2512632539602486e+18,144000.3859375
5,169508.52084418404,320854.89375,1.2766264239765586e+18,320854.89375
6,102722.12290852865,17320.24140625,1.6767893773484032e+17,17320.24140625
7,72872.12413770887,19458.8619140625,1.9086909932725864e+16,19458.8619140625
8,68591.99299841987,9123.32265625,7.634189650063523e+16,9123.32265625
9,60226.70592041015,10109.45703125,1.2172020424481178e+16,10109.45703125
10,81349.26574656168,22298.13828125,7.168367693391725e+17,22298.13828125
11,7020.679252115885,478.43037109375,4135078709533081.5,478.43037109375
12,3987.157243347168,1719.8293579101562,3521833534803149.0,1719.8293579101562
13,4095.149362352159,4948.777075195312,4305767662354432.0,4948.777075195312
14,3617.583756849501,323.64743957519534,2320774706757632.0,323.64743957519534
15,3512.2633853488496,1862.4279296875,3180849155538944.0,1862.4279296875
16,4264.613001505534,320.81165008544923,5906823747154739.0,320.81165008544923
17,4297.857699924045,559.5411224365234,2446617839088435.0,559.5411224365234
18,3727.2623046875,864.6233520507812,2728470128676045.0,864.6233520507812
19,3907.6758533053926,2881.8515014648438,3989932880166912.0,2881.8515014648438
20,3554.0293365478515,272.74634170532227,2349629907664896.0,272.74634170532227
21,3374.6508282131617,2715.108996582031,3772612313140429.0,2715.108996582031
22,3387.141919284397,478.59252777099607,2504129437604249.5,478.59252777099607
23,3380.3060824924046,1434.6714233398438,2941021443221094.5,1434.6714233398438
24,3763.4241828070744,793.8741149902344,2815016578528051.0,793.8741149902344
25,3761.3668643527562,885.2745727539062,5895235925390131.0,885.2745727539062
26,3356.0404439290364,470.47253570556643,2508141299446579.0,470.47253570556643
27,3806.2625172932944,910.8147064208985,3418205221552128.0,910.8147064208985
28,3590.1508477105035,844.9280487060547,3211724668796928.0,844.9280487060547
29,3536.229119873047,281.85519180297854,3563478732242944.0,281.85519180297854
30,2851.507346259223,1670.673291015625,2974251283067699.0,1670.673291015625
