epoch,train_loss,eval_loss,weighted_residual_mean,reconstruction_mse
1,1.0626738052146002e+19,1.0626890163471307e+19,1.0626890163471307e+19,31184919.0
2,1.062667194706358e+19,1.0626879443232936e+19,1.0626879443232936e+19,31184919.8
3,1.0626552454583233e+19,1.0626754263834112e+19,1.0626754263834112e+19,31184891.0
4,1.062655830642845e+19,1.062670945873528e+19,1.062670945873528e+19,31184886.8
5,1.0626494889041121e+19,1.0626684224943423e+19,1.0626684224943423e+19,31184863.7
6,1.062643280328454e+19,1.0626623751803896e+19,1.0626623751803896e+19,31184856.4
7,1.0626317098010909e+19,1.0626533481899256e+19,1.0626533481899256e+19,31184812.0
8,1.062631441031582e+19,1.0626476912026006e+19,1.0626476912026006e+19,31184788.5
9,1.0626270698620217e+19,1.0626453547403915e+19,1.0626453547403915e+19,31184765.5
10,1.062623276546906e+19,1.0626410336596945e+19,1.0626410336596945e+19,31184768.4
11,1.0626193928275005e+19,1.0626383288610902e+19,1.0626383288610902e+19,31184747.8
12,1.0626127493339097e+19,1.062633930814579e+19,1.062633930814579e+19,31184750.2
13,1.0626157644391289e+19,1.062630011055626e+19,1.062630011055626e+19,31184747.2
14,1.0626134945584574e+19,1.0626316823133002e+19,1.0626316823133002e+19,31184734.5
15,1.0626112918701631e+19,1.0626291644316725e+19,1.0626291644316725e+19,31184729.5
16,1.0626035122145569e+19,1.0626261957502775e+19,1.0626261957502775e+19,31184716.6
17,1.0626025800730323e+19,1.0626189884515576e+19,1.0626189884515576e+19,31184705.6
18,1.0625975601916117e+19,1.0626144419709768e+19,1.0626144419709768e+19,31184674.3
19,1.0625917132331112e+19,1.0626101098951633e+19,1.0626101098951633e+19,31184644.0
20,1.0625880714062641e+19,1.0626042165128385e+19,1.0626042165128385e+19,31184626.1
21,1.0625811518130866e+19,1.0625989168667924e+19,1.0625989168667924e+19,31184601.1
22,1.0625803271793658e+19,1.0625956348245836e+19,1.0625956348245836e+19,31184584.8
23,1.0625744912159814e+19,1.062592963011328e+19,1.062592963011328e+19,31184578.8
24,1.0625760769560846e+19,1.0625948761615604e+19,1.0625948761615604e+19,31184576.8
25,1.0625733122951805e+19,1.0625931224405142e+19,1.0625931224405142e+19,31184559.7
26,1.0625703790424936e+19,1.0625894500716773e+19,1.0625894500716773e+19,31184529.4
27,1.0625602757523139e+19,1.0625856017809801e+19,1.0625856017809801e+19,31184517.1
