epoch,train_loss,eval_loss,weighted_residual_mean,reconstruction_mse
1,4345584.663693576,160183.27109375,315246849.6,160183.27109375
2,147952.57497287326,71411.49609375,807044412.8,71411.49609375
3,129660.6550048828,216407.9125,102843802.0,216407.9125
4,120290.20164659288,13355.02001953125,6745922.675,13355.02001953125
5,107486.66530931261,76265.4046875,12330542.75,76265.4046875
6,105677.71866166856,81978.0171875,11575168.9,81978.0171875
7,102433.96842922634,143298.55,23360429.9,143298.55
8,97146.18382229275,13578.60888671875,29194918.7,13578.60888671875
9,84458.54940456814,95840.3359375,13883390.75,95840.3359375
10,87056.3977634006,95569.93203125,57245370.2,95569.93203125
11,80157.2541015625,134581.53828125,18059083.1,134581.53828125
12,82761.47978515625,12922.540087890626,23833985.0,12922.540087890626
13,72497.65417683919,95441.08515625,14597706.4,95441.08515625
14,70803.87510036892,74140.4921875,11574368.8,74140.4921875
15,75009.0588772244,101469.48828125,15893250.9,101469.48828125
16,67455.43227539063,23081.9255859375,5057238.625,23081.9255859375
17,70090.68566894531,73830.769140625,10610157.35,73830.769140625
18,62136.12953559028,52033.9416015625,8758697.05,52033.9416015625
19,65317.3163031684,136244.19453125,16777675.0,136244.19453125
20,63073.8513929579,31529.6541015625,7231289.025,31529.6541015625
21,60228.99884168837,52070.2171875,7664980.75,52070.2171875
22,60594.44140896267,59092.85390625,9606850.7,59092.85390625
