training_condition,method,weighted_residual_mean,amplitude_rmse,timing_rmse,position_rmse,shape_rmse
full,EMPCA,2058.8629585514554,0.17644648011955696,0.5414099295710333,0.34074554285657904,0.5483004670999391
full,PCA,2105.8374984311536,0.1986099470126296,0.42303548872269575,0.5443645889627896,0.5544382426384691
timing_restricted,EMPCA,2060.238869142084,0.1901009954944834,0.5408246447374312,0.3916221564210873,0.5520167295156018
timing_restricted,PCA,2069.2402981533114,0.19795402545986704,0.5408246447374312,0.524017390607351,0.545023168147616
position_restricted,EMPCA,2063.9347855007754,0.20412979078972823,0.5034316101912915,0.5614886138959941,0.5533700378761438
position_restricted,PCA,2068.098922157082,0.2016727562159558,0.5292497273629196,0.5614886138959941,0.5514198541783404
shape_restricted,EMPCA,2059.150581518946,0.19879511579120904,0.5104288103601601,0.388022963281514,0.5504852279300475
shape_restricted,PCA,2079.4432609748374,0.20948149152300422,0.47658506421882013,0.5363333210305553,0.5504852279300475
