file,imports_torch,imports_muon,imports_numpy
src/transformer/model_original.py,True,True,True
src/transformer/model_pairwise.py,True,True,True
src/transformer/model_pairwise_channel_masking.py,True,True,True
src/transformer/model_triangular_pairwise.py,True,True,True
