detector,model,template_projected_ratio_min,template_projected_ratio_median,template_projected_ratio_max,corr_abs_score_template_projected_ratio,band_20_80_ratio_min,band_20_80_ratio_median,band_20_80_ratio_max,band_20_80_corr_abs_score_ratio,band_80_150_ratio_min,band_80_150_ratio_median,band_80_150_ratio_max,band_80_150_corr_abs_score_ratio,band_150_300_ratio_min,band_150_300_ratio_median,band_150_300_ratio_max,band_150_300_corr_abs_score_ratio,band_300_512_ratio_min,band_300_512_ratio_median,band_300_512_ratio_max,band_300_512_corr_abs_score_ratio
H1,global_leave_one_out,0.6692629092879077,0.7044243586306818,0.7799852568011835,0.044047702888254464,0.6709576112874447,0.7127268440684698,0.7969392498817787,-0.037453434851939214,0.6854885154981919,0.9172824253573774,1.187255399134499,-0.04461839727919234,0.7769623214751424,0.9187286145359641,1.1290113401250728,0.055684894563389035,0.41658055052376386,0.7109817106588012,1.1166754466003819,-0.10542004462414875
H1,local_radius_64s,0.6762802648367555,0.7165964175484566,0.7916921147440843,-0.14290853401003373,0.6788494761252025,0.7252315150013153,0.8089845925752029,-0.163060086839853,0.7061096250135396,0.912883395853857,1.1570328702905996,0.1637715082868544,0.7512884429566895,0.9265800715537338,1.112205005410365,0.1398312943262682,0.41392979125215396,0.7170772690245246,1.1120814686210059,0.017757390444713417
L1,global_leave_one_out,0.6268141969497046,0.7023275360855556,0.7702543582827508,-0.00533768465807629,0.6490097547475744,0.7106181866766104,0.8103337343789352,0.00014203055453763952,0.773611545641545,0.9719285734684233,1.5098294787543882,-0.04501722653289173,0.6846130029191204,0.7715749841803223,0.8588101786934063,0.06792022819032209,0.541870448664253,0.6984911012042848,0.8559525331048282,-0.06067457534005073
L1,local_radius_64s,0.6327089668118555,0.710838900275069,0.7889563862970317,-0.12117583706238286,0.6533726847576,0.7222349379937191,0.8167616967681776,-0.08544884411002036,0.8041237372802935,0.9959537341668356,1.4810354485230162,-0.014733992284413664,0.7003754495051001,0.7806882879165975,0.893933804512873,-0.05650286391723953,0.5463927586830821,0.7127517587945096,0.9329548056253705,-0.10941824505785518
