run_id,detector,psd_ratio_median,psd_ratio_p05,psd_ratio_p95,psd_relative_l2_error,psd_max_abs_log10_ratio,corr_gls_vs_gwpy_fir,corr_gls_vs_repository_whitened,corr_repository_whitened_vs_gwpy_fir,relative_l2_gls_vs_gwpy_fir
20260622T175125Z_b169c1f595a4,H1,1.0,1.0,1.0,0.0,0.0,0.10316318725232068,0.9738775717824453,0.3136012220388195,1.0117887253203424
20260622T175125Z_b169c1f595a4,L1,1.0,1.0,1.0,0.0,0.0,0.7287428473542558,0.9970175837879358,0.7509658612655743,0.7281366617970056
