run_id,detector,official_data_available,event_window_valid,candidate_windows,valid_windows,invalid_windows,quality_flagged_evaluation_windows
20260622T175125Z_b169c1f595a4,H1,True,True,62,62,0,0
20260622T175125Z_b169c1f595a4,L1,True,True,62,62,0,0
